t,norm_before,norm_after,unitarity_defect,energy,energy_delta,energy_err
88,1.000000E+000,1.000000E+000,-1.065814E-014,1.430707E+004,4.802132E-009,4.802132E-009
89,1.000000E+000,1.000000E+000,1.865175E-014,1.430707E+004,4.574758E-009,4.574758E-009
90,1.000000E+000,1.000000E+000,-4.440892E-016,1.430707E+004,4.656613E-009,4.656613E-009
91,1.000000E+000,1.000000E+000,2.486900E-014,1.430707E+004,4.736648E-009,4.736648E-009
92,1.000000E+000,1.000000E+000,8.881784E-015,1.430707E+004,4.849426E-009,4.849426E-009
93,1.000000E+000,1.000000E+000,-8.881784E-016,1.430707E+004,4.678441E-009,4.678441E-009
94,1.000000E+000,1.000000E+000,3.463896E-014,1.430707E+004,4.913090E-009,4.913090E-009
95,1.000000E+000,1.000000E+000,7.105427E-015,1.430707E+004,4.925823E-009,4.925823E-009
96,1.000000E+000,1.000000E+000,1.376677E-014,1.430707E+004,5.156835E-009,5.156835E-009
97,1.000000E+000,1.000000E+000,2.264855E-014,1.430707E+004,4.938556E-009,4.938556E-009
98,1.000000E+000,1.000000E+000,-8.437695E-015,1.430707E+004,4.949470E-009,4.949470E-009
99,1.000000E+000,1.000000E+000,7.993606E-015,1.430707E+004,5.020411E-009,5.020411E-009
100,1.000000E+000,1.000000E+000,2.220446E-014,1.430707E+004,5.342372E-009,5.342372E-009
101,1.000000E+000,1.000000E+000,9.325873E-015,1.430707E+004,5.593392E-009,5.593392E-009
102,1.000000E+000,1.000000E+000,2.176037E-014,1.430707E+004,5.466063E-009,5.466063E-009
103,1.000000E+000,1.000000E+000,7.993606E-015,1.430707E+004,5.491529E-009,5.491529E-009
104,1.000000E+000,1.000000E+000,2.486900E-014,1.430707E+004,5.513357E-009,5.513357E-009
105,1.000000E+000,1.000000E+000,1.154632E-014,1.430707E+004,5.529728E-009,5.529728E-009
106,1.000000E+000,1.000000E+000,-9.769963E-015,1.430707E+004,5.571565E-009,5.571565E-009
107,1.000000E+000,1.000000E+000,5.329071E-015,1.430707E+004,5.360562E-009,5.360562E-009
108,1.000000E+000,1.000000E+000,1.909584E-014,1.430707E+004,5.546099E-009,5.546099E-009
109,1.000000E+000,1.000000E+000,3.241851E-014,1.430707E+004,5.953552E-009,5.953552E-009
110,1.000000E+000,1.000000E+000,-7.993606E-015,1.430707E+004,5.948095E-009,5.948095E-009
111,1.000000E+000,1.000000E+000,6.661338E-015,1.430707E+004,5.995389E-009,5.995389E-009
112,1.000000E+000,1.000000E+000,1.332268E-014,1.430707E+004,5.758920E-009,5.758920E-009
113,1.000000E+000,1.000000E+000,1.643130E-014,1.430707E+004,5.804395E-009,5.804395E-009
114,1.000000E+000,1.000000E+000,6.217249E-015,1.430707E+004,5.853508E-009,5.853508E-009
115,1.000000E+000,1.000000E+000,2.309264E-014,1.430707E+004,5.802576E-009,5.802576E-009
116,1.000000E+000,1.000000E+000,1.776357E-014,1.430707E+004,6.199116E-009,6.199116E-009
117,1.000000E+000,1.000000E+000,6.217249E-015,1.430707E+004,6.060873E-009,6.060873E-009
118,1.000000E+000,1.000000E+000,1.687539E-014,1.430707E+004,6.129994E-009,6.129994E-009
119,1.000000E+000,1.000000E+000,-1.776357E-015,1.430707E+004,6.064511E-009,6.064511E-009
120,1.000000E+000,1.000000E+000,1.421085E-014,1.430707E+004,6.310074E-009,6.310074E-009
121,1.000000E+000,1.000000E+000,4.485301E-014,1.430707E+004,6.417395E-009,6.417395E-009
