t,norm_err,energy_err,energy
221,1.351808E-012,1.131048E-008,1.430707E+004
222,1.359135E-012,1.208355E-008,1.430707E+004
223,1.355138E-012,1.148146E-008,1.430707E+004
224,1.362910E-012,1.169428E-008,1.430707E+004
225,1.374012E-012,1.160515E-008,1.430707E+004
226,1.368905E-012,1.161243E-008,1.430707E+004
227,1.383782E-012,1.178523E-008,1.430707E+004
228,1.384004E-012,1.185072E-008,1.430707E+004
229,1.393996E-012,1.191802E-008,1.430707E+004
230,1.401101E-012,1.211447E-008,1.430707E+004
231,1.408873E-012,1.202170E-008,1.430707E+004
232,1.411982E-012,1.200169E-008,1.430707E+004
233,1.422862E-012,1.215449E-008,1.430707E+004
234,1.427747E-012,1.222543E-008,1.430707E+004
235,1.448619E-012,1.205444E-008,1.430707E+004
236,1.434186E-012,1.225635E-008,1.430707E+004
237,1.450617E-012,1.232365E-008,1.430707E+004
238,1.453060E-012,1.234002E-008,1.430707E+004
239,1.459055E-012,1.225089E-008,1.430707E+004
240,1.463496E-012,1.253284E-008,1.430707E+004
241,1.471490E-012,1.260742E-008,1.430707E+004
242,1.469491E-012,1.273293E-008,1.430707E+004
243,1.482592E-012,1.260196E-008,1.430707E+004
244,1.489697E-012,1.256740E-008,1.430707E+004
245,1.491030E-012,1.273293E-008,1.430707E+004
246,1.501244E-012,1.266380E-008,1.430707E+004
247,1.512124E-012,1.297485E-008,1.430707E+004
248,1.507683E-012,1.266744E-008,1.430707E+004
249,1.522782E-012,1.272929E-008,1.430707E+004
250,1.533884E-012,1.317130E-008,1.430707E+004
251,1.524558E-012,1.314220E-008,1.430707E+004
252,1.532330E-012,1.313310E-008,1.430707E+004
253,1.536549E-012,1.321132E-008,1.430707E+004
254,1.547207E-012,1.328772E-008,1.430707E+004
255,1.548983E-012,1.336775E-008,1.430707E+004
256,1.565192E-012,1.343687E-008,1.430707E+004
257,1.571188E-012,1.338412E-008,1.430707E+004
258,1.583178E-012,1.360058E-008,1.430707E+004
259,1.574074E-012,1.352237E-008,1.430707E+004
260,1.579625E-012,1.364606E-008,1.430707E+004
261,1.588951E-012,1.367334E-008,1.430707E+004
