t,norm_err,energy_err,energy
231,1.580958E-013,1.427907E-010,7.254007E+002
232,1.543210E-013,1.388116E-010,7.254007E+002
233,1.687539E-013,1.145963E-010,7.254007E+002
234,1.465494E-013,1.357421E-010,7.254007E+002
235,1.576517E-013,1.269882E-010,7.254007E+002
236,1.640910E-013,1.330136E-010,7.254007E+002
237,1.674216E-013,1.122089E-010,7.254007E+002
238,1.605382E-013,1.277840E-010,7.254007E+002
239,1.658673E-013,1.224407E-010,7.254007E+002
240,1.596501E-013,1.266471E-010,7.254007E+002
241,1.665335E-013,1.218723E-010,7.254007E+002
242,1.549871E-013,1.280114E-010,7.254007E+002
243,1.600942E-013,1.301714E-010,7.254007E+002
244,1.700862E-013,1.216449E-010,7.254007E+002
245,1.647571E-013,1.227818E-010,7.254007E+002
246,1.587619E-013,1.261924E-010,7.254007E+002
247,1.629807E-013,1.422222E-010,7.254007E+002
248,1.685319E-013,1.465423E-010,7.254007E+002
249,1.749711E-013,1.100489E-010,7.254007E+002
250,1.647571E-013,1.048193E-010,7.254007E+002
251,1.703082E-013,1.277840E-010,7.254007E+002
252,1.680878E-013,1.558647E-010,7.254007E+002
253,1.658673E-013,1.443823E-010,7.254007E+002
254,1.685319E-013,1.126637E-010,7.254007E+002
255,1.754152E-013,1.446097E-010,7.254007E+002
256,1.731948E-013,1.190301E-010,7.254007E+002
257,1.776357E-013,1.259650E-010,7.254007E+002
258,1.694200E-013,1.369926E-010,7.254007E+002
259,1.740830E-013,1.299441E-010,7.254007E+002
260,1.765255E-013,1.350600E-010,7.254007E+002
261,1.727507E-013,1.285798E-010,7.254007E+002
262,1.791900E-013,1.321041E-010,7.254007E+002
263,1.789680E-013,1.418812E-010,7.254007E+002
264,1.756373E-013,1.405169E-010,7.254007E+002
265,1.842970E-013,1.425633E-010,7.254007E+002
266,1.951772E-013,1.593889E-010,7.254007E+002
267,1.780798E-013,1.469971E-010,7.254007E+002
268,1.783018E-013,1.483613E-010,7.254007E+002
269,1.807443E-013,1.243734E-010,7.254007E+002
270,1.805223E-013,1.426770E-010,7.254007E+002
271,1.836309E-013,1.209628E-010,7.254007E+002
272,1.776357E-013,1.416538E-010,7.254007E+002
273,1.880718E-013,1.292619E-010,7.254007E+002
274,1.829648E-013,1.327862E-010,7.254007E+002
275,1.862954E-013,1.431317E-010,7.254007E+002
276,1.907363E-013,1.244871E-010,7.254007E+002
277,1.880718E-013,1.350600E-010,7.254007E+002
278,1.878497E-013,1.479066E-010,7.254007E+002
279,1.796341E-013,1.500666E-010,7.254007E+002
280,1.934009E-013,1.485887E-010,7.254007E+002
281,1.880718E-013,1.394937E-010,7.254007E+002
