t,norm_before,norm_after,unitarity_defect,energy,energy_delta,energy_err
89,1.000000E+000,1.000000E+000,-3.019807E-014,7.254007E+002,3.024070E-011,3.024070E-011
90,1.000000E+000,1.000000E+000,-6.661338E-015,7.254007E+002,7.798917E-011,7.798917E-011
91,1.000000E+000,1.000000E+000,-1.776357E-015,7.254007E+002,5.672973E-011,5.672973E-011
92,1.000000E+000,1.000000E+000,-2.531308E-014,7.254007E+002,4.877165E-011,4.877165E-011
93,1.000000E+000,1.000000E+000,4.529710E-014,7.254007E+002,3.160494E-011,3.160494E-011
94,1.000000E+000,1.000000E+000,-3.641532E-014,7.254007E+002,5.343281E-011,5.343281E-011
95,1.000000E+000,1.000000E+000,1.953993E-014,7.254007E+002,4.024514E-011,4.024514E-011
96,1.000000E+000,1.000000E+000,2.309264E-014,7.254007E+002,5.252332E-011,5.252332E-011
97,1.000000E+000,1.000000E+000,-2.664535E-015,7.254007E+002,5.684342E-011,5.684342E-011
98,1.000000E+000,1.000000E+000,-2.087219E-014,7.254007E+002,4.524736E-011,4.524736E-011
99,1.000000E+000,1.000000E+000,-1.776357E-015,7.254007E+002,6.218670E-011,6.218670E-011
100,1.000000E+000,1.000000E+000,-1.021405E-014,7.254007E+002,3.967671E-011,3.967671E-011
101,1.000000E+000,1.000000E+000,4.618528E-014,7.254007E+002,4.592948E-011,4.592948E-011
102,1.000000E+000,1.000000E+000,-7.105427E-015,7.254007E+002,3.331024E-011,3.331024E-011
103,1.000000E+000,1.000000E+000,-6.661338E-015,7.254007E+002,5.070433E-011,5.070433E-011
104,1.000000E+000,1.000000E+000,-5.773160E-015,7.254007E+002,5.354650E-011,5.354650E-011
105,1.000000E+000,1.000000E+000,-1.376677E-014,7.254007E+002,5.263701E-011,5.263701E-011
106,1.000000E+000,1.000000E+000,3.019807E-014,7.254007E+002,5.672973E-011,5.672973E-011
107,1.000000E+000,1.000000E+000,-1.643130E-014,7.254007E+002,5.843503E-011,5.843503E-011
108,1.000000E+000,1.000000E+000,1.687539E-014,7.254007E+002,4.968115E-011,4.968115E-011
109,1.000000E+000,1.000000E+000,-2.442491E-014,7.254007E+002,6.752998E-011,6.752998E-011
110,1.000000E+000,1.000000E+000,2.575717E-014,7.254007E+002,6.070877E-011,6.070877E-011
111,1.000000E+000,1.000000E+000,1.598721E-014,7.254007E+002,5.479706E-011,5.479706E-011
112,1.000000E+000,1.000000E+000,-2.664535E-014,7.254007E+002,7.423751E-011,7.423751E-011
113,1.000000E+000,1.000000E+000,2.309264E-014,7.254007E+002,5.923084E-011,5.923084E-011
114,1.000000E+000,1.000000E+000,-1.509903E-014,7.254007E+002,3.888090E-011,3.888090E-011
115,1.000000E+000,1.000000E+000,1.110223E-014,7.254007E+002,6.582468E-011,6.582468E-011
116,1.000000E+000,1.000000E+000,1.243450E-014,7.254007E+002,5.297807E-011,5.297807E-011
117,1.000000E+000,1.000000E+000,-3.108624E-014,7.254007E+002,5.206857E-011,5.206857E-011
118,1.000000E+000,1.000000E+000,1.998401E-014,7.254007E+002,5.331913E-011,5.331913E-011
119,1.000000E+000,1.000000E+000,-1.243450E-014,7.254007E+002,5.275069E-011,5.275069E-011
120,1.000000E+000,1.000000E+000,2.708944E-014,7.254007E+002,5.604761E-011,5.604761E-011
121,1.000000E+000,1.000000E+000,4.440892E-016,7.254007E+002,6.411938E-011,6.411938E-011
122,1.000000E+000,1.000000E+000,5.329071E-015,7.254007E+002,3.944933E-011,3.944933E-011
123,1.000000E+000,1.000000E+000,-3.685940E-014,7.254007E+002,6.730261E-011,6.730261E-011
124,1.000000E+000,1.000000E+000,3.197442E-014,7.254007E+002,6.377832E-011,6.377832E-011
125,1.000000E+000,1.000000E+000,-7.105427E-015,7.254007E+002,5.979928E-011,5.979928E-011
126,1.000000E+000,1.000000E+000,-2.220446E-015,7.254007E+002,6.389200E-011,6.389200E-011
127,1.000000E+000,1.000000E+000,-4.440892E-015,7.254007E+002,6.923528E-011,6.923528E-011
128,1.000000E+000,1.000000E+000,0.000000E+000,7.254007E+002,6.923528E-011,6.923528E-011
129,1.000000E+000,1.000000E+000,2.442491E-014,7.254007E+002,6.923528E-011,6.923528E-011
130,1.000000E+000,1.000000E+000,-1.287859E-014,7.254007E+002,5.866241E-011,5.866241E-011
131,1.000000E+000,1.000000E+000,-6.661338E-015,7.254007E+002,6.468781E-011,6.468781E-011
132,1.000000E+000,1.000000E+000,5.773160E-015,7.254007E+002,5.127276E-011,5.127276E-011
133,1.000000E+000,1.000000E+000,1.021405E-014,7.254007E+002,7.878498E-011,7.878498E-011
134,1.000000E+000,1.000000E+000,-2.042810E-014,7.254007E+002,7.150902E-011,7.150902E-011
135,1.000000E+000,1.000000E+000,1.909584E-014,7.254007E+002,7.094059E-011,7.094059E-011
136,1.000000E+000,1.000000E+000,1.776357E-014,7.254007E+002,4.627054E-011,4.627054E-011
137,1.000000E+000,1.000000E+000,1.776357E-015,7.254007E+002,8.515144E-011,8.515144E-011
138,1.000000E+000,1.000000E+000,-1.465494E-014,7.254007E+002,6.059508E-011,6.059508E-011
139,1.000000E+000,1.000000E+000,9.325873E-015,7.254007E+002,7.810286E-011,7.810286E-011
140,1.000000E+000,1.000000E+000,7.993606E-015,7.254007E+002,9.276846E-011,9.276846E-011
141,1.000000E+000,1.000000E+000,-4.707346E-014,7.254007E+002,6.320988E-011,6.320988E-011
142,1.000000E+000,1.000000E+000,4.130030E-014,7.254007E+002,4.752110E-011,4.752110E-011
143,1.000000E+000,1.000000E+000,4.884981E-015,7.254007E+002,6.775736E-011,6.775736E-011
144,1.000000E+000,1.000000E+000,4.440892E-016,7.254007E+002,8.708412E-011,8.708412E-011
145,1.000000E+000,1.000000E+000,-1.554312E-014,7.254007E+002,7.707968E-011,7.707968E-011
146,1.000000E+000,1.000000E+000,1.154632E-014,7.254007E+002,7.742074E-011,7.742074E-011
147,1.000000E+000,1.000000E+000,1.776357E-015,7.254007E+002,7.901235E-011,7.901235E-011
148,1.000000E+000,1.000000E+000,4.440892E-016,7.254007E+002,7.139533E-011,7.139533E-011
149,1.000000E+000,1.000000E+000,-3.996803E-015,7.254007E+002,7.332801E-011,7.332801E-011
150,1.000000E+000,1.000000E+000,1.865175E-014,7.254007E+002,9.185896E-011,9.185896E-011
151,1.000000E+000,1.000000E+000,-9.325873E-015,7.254007E+002,7.173639E-011,7.173639E-011
152,1.000000E+000,1.000000E+000,-7.993606E-015,7.254007E+002,8.662937E-011,8.662937E-011
153,1.000000E+000,1.000000E+000,-3.996803E-015,7.254007E+002,8.310508E-011,8.310508E-011
154,1.000000E+000,1.000000E+000,8.881784E-015,7.254007E+002,6.173195E-011,6.173195E-011
155,1.000000E+000,1.000000E+000,8.881784E-016,7.254007E+002,9.720225E-011,9.720225E-011
156,1.000000E+000,1.000000E+000,2.398082E-014,7.254007E+002,8.719780E-011,8.719780E-011
157,1.000000E+000,1.000000E+000,-8.881784E-015,7.254007E+002,8.265033E-011,8.265033E-011
158,1.000000E+000,1.000000E+000,-1.332268E-014,7.254007E+002,8.321877E-011,8.321877E-011
159,1.000000E+000,1.000000E+000,3.419487E-014,7.254007E+002,7.196377E-011,7.196377E-011
160,1.000000E+000,1.000000E+000,-3.597123E-014,7.254007E+002,8.310508E-011,8.310508E-011
161,1.000000E+000,1.000000E+000,4.884981E-015,7.254007E+002,8.265033E-011,8.265033E-011
162,1.000000E+000,1.000000E+000,-4.884981E-015,7.254007E+002,8.742518E-011,8.742518E-011
163,1.000000E+000,1.000000E+000,-3.108624E-015,7.254007E+002,8.708412E-011,8.708412E-011
164,1.000000E+000,1.000000E+000,1.598721E-014,7.254007E+002,8.287770E-011,8.287770E-011
165,1.000000E+000,1.000000E+000,3.286260E-014,7.254007E+002,8.685674E-011,8.685674E-011
166,1.000000E+000,1.000000E+000,-1.643130E-014,7.254007E+002,9.015366E-011,9.015366E-011
167,1.000000E+000,1.000000E+000,-1.465494E-014,7.254007E+002,8.435563E-011,8.435563E-011
168,1.000000E+000,1.000000E+000,9.325873E-015,7.254007E+002,8.731149E-011,8.731149E-011
169,1.000000E+000,1.000000E+000,7.105427E-015,7.254007E+002,8.697043E-011,8.697043E-011
170,1.000000E+000,1.000000E+000,2.664535E-015,7.254007E+002,1.181206E-010,1.181206E-010
171,1.000000E+000,1.000000E+000,-1.953993E-014,7.254007E+002,8.606094E-011,8.606094E-011
172,1.000000E+000,1.000000E+000,6.661338E-015,7.254007E+002,8.128609E-011,8.128609E-011
173,1.000000E+000,1.000000E+000,2.442491E-014,7.254007E+002,7.378276E-011,7.378276E-011
174,1.000000E+000,1.000000E+000,-3.419487E-014,7.254007E+002,8.924417E-011,8.924417E-011
175,1.000000E+000,1.000000E+000,4.440892E-015,7.254007E+002,9.595169E-011,9.595169E-011
176,1.000000E+000,1.000000E+000,-7.993606E-015,7.254007E+002,7.855760E-011,7.855760E-011
177,1.000000E+000,1.000000E+000,3.996803E-014,7.254007E+002,8.628831E-011,8.628831E-011
178,1.000000E+000,1.000000E+000,-1.776357E-015,7.254007E+002,5.422862E-011,5.422862E-011
179,1.000000E+000,1.000000E+000,-2.664535E-015,7.254007E+002,1.044782E-010,1.044782E-010
180,1.000000E+000,1.000000E+000,-7.993606E-015,7.254007E+002,1.073204E-010,1.073204E-010
181,1.000000E+000,1.000000E+000,-6.217249E-015,7.254007E+002,1.026592E-010,1.026592E-010
182,1.000000E+000,1.000000E+000,-5.329071E-015,7.254007E+002,8.833467E-011,8.833467E-011
183,1.000000E+000,1.000000E+000,3.996803E-015,7.254007E+002,5.491074E-011,5.491074E-011
184,1.000000E+000,1.000000E+000,1.465494E-014,7.254007E+002,8.401457E-011,8.401457E-011
185,1.000000E+000,1.000000E+000,-2.220446E-015,7.254007E+002,1.018634E-010,1.018634E-010
186,1.000000E+000,1.000000E+000,-1.065814E-014,7.254007E+002,1.095941E-010,1.095941E-010
187,1.000000E+000,1.000000E+000,3.685940E-014,7.254007E+002,1.019771E-010,1.019771E-010
188,1.000000E+000,1.000000E+000,-2.842171E-014,7.254007E+002,1.097078E-010,1.097078E-010
189,1.000000E+000,1.000000E+000,4.440892E-016,7.254007E+002,1.033413E-010,1.033413E-010
190,1.000000E+000,1.000000E+000,5.329071E-015,7.254007E+002,1.225544E-010,1.225544E-010
191,1.000000E+000,1.000000E+000,-7.993606E-015,7.254007E+002,8.287770E-011,8.287770E-011
192,1.000000E+000,1.000000E+000,1.376677E-014,7.254007E+002,1.114131E-010,1.114131E-010
193,1.000000E+000,1.000000E+000,1.332268E-014,7.254007E+002,9.742962E-011,9.742962E-011
194,1.000000E+000,1.000000E+000,4.440892E-016,7.254007E+002,9.436008E-011,9.436008E-011
195,1.000000E+000,1.000000E+000,-2.664535E-015,7.254007E+002,9.765699E-011,9.765699E-011
196,1.000000E+000,1.000000E+000,8.881784E-015,7.254007E+002,1.194849E-010,1.194849E-010
197,1.000000E+000,1.000000E+000,0.000000E+000,7.254007E+002,1.017497E-010,1.017497E-010
198,1.000000E+000,1.000000E+000,-1.820766E-014,7.254007E+002,1.060698E-010,1.060698E-010
199,1.000000E+000,1.000000E+000,1.509903E-014,7.254007E+002,9.595169E-011,9.595169E-011
200,1.000000E+000,1.000000E+000,-1.465494E-014,7.254007E+002,1.049330E-010,1.049330E-010
