timestep,timestamp_utc,U,S,T,F,teff_undefined,gpu_temp_c,gpu_power_w,gpu_clock_mhz,is_f_spike,is_thermal_peak
43,2026-02-21T20:01:52.2367452+00:00,0.56219511262281618,0.86588830474415468,1,-0.3036931921213385,0,41,5.52,210,1,0
44,2026-02-21T20:01:54.7046679+00:00,0.56479601408583502,0.86802711609264616,1,-0.30323110200681114,0,41,5.24,210,1,0
45,2026-02-21T20:01:57.1225442+00:00,0.56747745665016647,0.87012196010386023,1,-0.30264450345369376,0,42,11.5,2355,1,1
46,2026-02-21T20:01:59.5768474+00:00,0.57028006316589841,0.87224745377367585,1,-0.30196739060777744,0,42,18.39,2355,1,0
47,2026-02-21T20:02:01.9963157+00:00,0.5732478317578702,0.87443759722444991,1,-0.30118976546657972,0,41,4.15,210,1,0
48,2026-02-21T20:02:04.4361362+00:00,0.57640802078115028,0.87660098350620885,1,-0.30019296272505858,0,41,2.78,210,1,0
49,2026-02-21T20:02:06.8962268+00:00,0.57976660512619982,0.87865558886175488,1,-0.29888898373555506,0,41,2.49,210,1,0
50,2026-02-21T20:02:09.3463068+00:00,0.583315905867693,0.880568796042973,1,-0.29725289017528,0,41,2.32,210,1,0
51,2026-02-21T20:02:11.9994464+00:00,0.58701618334368733,0.88234555852458751,1,-0.29532937518090019,0,41,2.38,210,1,0
52,2026-02-21T20:02:14.4681278+00:00,0.59080816055041818,0.88403585733726897,1,-0.29322769678685079,0,41,2.5,210,1,0
53,2026-02-21T20:02:16.9244352+00:00,0.59462103798451293,0.88566600681217189,1,-0.29104496882765896,0,41,2.55,210,1,0
54,2026-02-21T20:02:19.3632147+00:00,0.59838302569326407,0.88725799924508419,1,-0.28887497355182012,0,41,2.47,210,1,0
55,2026-02-21T20:02:21.8182888+00:00,0.60205267587308176,0.88881772423228811,1,-0.28676504835920635,0,41,2.5,210,1,0
56,2026-02-21T20:02:24.2613645+00:00,0.60562139836890616,0.89036676897076994,1,-0.28474537060186378,0,41,2.51,210,1,0
57,2026-02-21T20:02:26.7043112+00:00,0.60911434779662943,0.89193180662088767,1,-0.28281745882425824,0,41,2.56,210,1,0
58,2026-02-21T20:02:29.1385825+00:00,0.61258330649764248,0.89345441500615264,1,-0.28087110850851016,0,41,2.57,210,1,0
59,2026-02-21T20:02:31.5796300+00:00,0.61607769698302906,0.89487943625541411,1,-0.27880173927238505,0,41,2.61,210,1,0
